year,cpi,t
1960,0.741244284,1
1961,0.759456674,2
1962,0.783132781,3
1963,0.788596499,4
1964,0.787813384,5
1965,0.816005513,6
1966,0.856923256,7
1967,0.871998214,8
1968,0.875195932,9
1969,0.873694962,10
1970,0.892816013,11
1971,0.926566298,12
1972,0.980600353,13
1973,1.071611776,14
1974,1.262465277,15
1975,1.503850961,16
1976,1.676027316,17
1977,1.924430729,18
1978,2.250271154,19
1979,2.429828224,20
1980,2.766558228,21
1981,3.087563458,22
1982,3.725661388,23
1983,4.150304178,24
1984,4.577125536,25
1985,5.172452409,26
1986,5.303536629,27
1987,5.76163879,28
1988,6.468301659,29
1989,7.360236297,30
1990,8.669019857,31
1991,10.41014877,32
1992,13.25548857,33
1993,19.35021392,34
1994,24.92585992,35
1995,25.31328958,36
1996,27.55708169,37
1997,30.68807461,38
1998,32.75106095,39
1999,34.63162722,40
2000,38.08787233,41
2001,40.27358227,42
2002,41.06347134,43
2003,45.09413465,44
2004,50.33589289,45
2005,55.52692196,46
2006,63.55263568,47
2007,69.75466128,48
2008,88.0581565,49
2009,96.18955755,50
2010,100,51
2011,114.0224913,52
2012,124.7152583,53
2013,131.8458452,54
2014,140.9144068,55
2015,150.1896105,56
2016,159.647425,57
2017,172.4282386,58
2018,180.5147893,59
2019,189.9731107,60
2020,200.2414652,61
2021,212.4720858,62
2022,228.7471558,63
2023,246.2952568,64
2024,,65